track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
Reach You - Zack Martino & Matt Steffanina Remix,Mesa & Boss,Reach You (Zack Martino & Matt Steffanina Remix),2024-12-20,42,6oJbGUvqzRnHg8jrQFhArN,UK,"['Vorwerk', 'HALIENE', 'Zack Martino', 'Matt Steffanina']",English
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,92,3QaPy1KgI7nu9FJEQUgn6h,UK,[],English
Red Wine Supernova,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,45,1PwsO9T862TqEyq4ZiuTME,UK,[],English
Miracle,CARSTN,Miracle,2024-12-20,47,2x3btSPsMTPhd0SwE3IPJy,UK,['Jeoff Harris'],English
NIGHTS LIKE THIS,The Kid LAROI,THE FIRST TIME,2023-11-10,87,1XBYiRV30ykHw5f4wm6qEn,UK,[],English
I Had Some Help,Post Malone,I Had Some Help,2024-05-10,62,6N26C3tVDH3PKG0IrCIMSk,UK,['Morgan Wallen'],English
Snow Flakes,MENA,Snow Flakes,2024-12-10,37,6kjxCx6mBsQH4Boh108pED,UK,['Carlos Stephens'],English
Fortnight,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,83,2OzhQlSqBEmt7hmkYxfT6m,UK,['Post Malone'],English
Too Sweet,Hozier,Unheard,2024-03-22,78,3HMY0r2BAdpasXMY8rseR0,UK,[],English
Talk To Me,Kode PinK,Talk To Me,2024-02-02,29,1JHeyq2fGACVam8hfIrdKW,UK,['Faze'],English
The Tortured Poets Department,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,47,5jZhbVyA4j9MzLrBYKs35Z,UK,[],English
Down Bad,Taylor Swift,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,50,5O4SPACkaBSKjBJEPYJwfQ,UK,[],English
YOU ARE BEAUTY,Pamela Laws,YOU ARE BEAUTY,2025-01-17,14,5hFh2u68qpa55MkqArdGPx,UK,[],English
Espresso,Sabrina Carpenter,Espresso,2024-04-12,88,2qSkIjg1o9h3YT9RAgYN75,UK,[],English
Beautiful Things,Benson Boone,Beautiful Things,2024-01-18,85,6tNQ70jh4OwmPGpYy6R2o9,UK,[],English
Seaside,Coffee Cub,Seaside,2024-12-13,43,21K4Ok0JRcsMolAUYmA7fq,UK,[],English
i like the way you kiss me,Artemas,i like the way you kiss me,2024-03-19,83,2GxrNKugF82CnoRFbQfzPf,UK,[],English
Lose Control,Teddy Swims,Lose Control,2023-06-23,81,6usohdchdzW9oML7VC4Uhk,UK,[],English
Coming Home,TATE SEDAR,Coming Home (I.M.U),2024-12-06,24,1o9nOzUqCT4VneL98x4amD,UK,[],English
TEXAS HOLD 'EM,Beyoncé,TEXAS HOLD 'EM,2024-02-09,56,7cPPeSxJ1VNAzUFH3Ms4Tm,UK,[],English
Austin,Dasha,Austin (Boots Stop Workin'),2023-11-16,60,69wVo2cAAD7O9XSpSpTBAu,UK,[],English
This Moment,My Silent Bravery,This Moment (featuring Maurico),2024-11-15,37,5j6ZCjUJZ08suduy9nUiil,UK,['Maurico'],English
we can't be friends,Ariana Grande,eternal sunshine,2024-03-08,81,46kspZSY3aKmwQe7O77fCC,UK,[],English
Belong Together,Mark Ambor,Belong Together,2024-02-16,79,5uQ7de4EWjb3rkcFxyEOpu,UK,[],English
Let My People Go,Pastor Nate 'n The Traveling Mercy,Let My People Go,2024-12-09,36,33kAYX9QP5IHiAoPT7GCZx,UK,[],English
Scared To Start,Michael Marcagi,Scared To Start,2024-01-12,82,3Pbp7cUCx4d3OAkZSCoNvn,UK,[],English
Push Ups,Drake,Push Ups,2024-04-19,72,3eh51r6rFWAlGQRlHx9QnQ,UK,[],English
OMG,Rafasan,OMG,2024-11-15,31,1kHKHW53V4DDKdz8cZeNMg,UK,[],English
Stick Season,Noah Kahan,Stick Season,2022-10-14,86,0mflMxspEfB0VbI1kyLiAv,UK,[],English
A Bar Song,Shaboozey,A Bar Song (Tipsy),2024-04-12,65,1SviOIgEA8sEPVgYEdCpnh,UK,[],English
WHEN YOU SLEEP,REAL MUSIC BAND,REAL,2024-07-19,16,1iBj2ul9pC9BgsEhn5Yb0s,UK,[],English
Happier,The Blessed Madonna,Happier (feat. Clementine Douglas),2024-02-02,65,1TcF5F10EN17vraisG1gQv,UK,['Clementine Douglas'],English
Tell Ur Girlfriend,Lay Bankz,Tell Ur Girlfriend,2024-02-07,71,3lMzT16MjAKKXF7pSZn13B,UK,[],English
